School_ID,NAME_OF_SCHOOL,Street_Address,City,ZIP_Code,Network_Manager,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon ,SAFETY_SCORE,Longitude,Latitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police_District
609958,Frank W Gunsaulus Elementary Scholastic Academy,4420 S Sacramento Ave ,Chicago,60632,Pershing Elementary Network,Not on Probation,Level 1,No,Average,46,-87.69940042,41.81299531,58,BRIGHTON PARK,14,9
610144,Frank W Reilly Elementary School,3650 W School St ,Chicago,60618,Fullerton Elementary Network,Probation,Level 2,No,Average,48,-87.71953058,41.94112155,21,AVONDALE,35,17
610165,Franz Peter Schubert Elementary School,2727 N Long Ave ,Chicago,60639,Fullerton Elementary Network,Probation,Level 3,No,NDA,,-87.76115305,41.93038593,19,BELMONT CRAGIN,31,25
610503,Frazier Prospective IB Magnet Elementary School,4027 W Grenshaw St ,Chicago,60624,Austin-North Lawndale Elementary Network,Not on Probation,Level 1,No,Strong,60,-87.72631742,41.86695871,29,NORTH LAWNDALE,24,11
609854,Frederic Chopin Elementary School,2450 W Rice St ,Chicago,60622,Fulton Elementary Network,Not on Probation,Level 1,No,Very Strong,86,-87.68890154,41.89674048,24,WEST TOWN,1,13
610245,Frederick A Douglass Academy High School,543 N Waller Ave ,Chicago,60644,West Side High School Network,Probation,Level 3,No,Average,44,-87.76763207,41.89037849,25,AUSTIN,29,15
609930,Frederick Funston Elementary School,2010 N Central Park ,Chicago,60647,Fullerton Elementary Network,Probation,Level 3,No,Very Weak,16,-87.71692852,41.91762127,22,LOGAN SQUARE,26,25
610163,Frederick Stock Elementary School,7507 W Birchwood Ave ,Chicago,60631,O'Hare Elementary Network,NDA,NDA,No,NDA,,-87.81420664,42.0168639,9,EDISON PARK,41,16
610010,Friedrich Ludwig Jahn Elementary School,3149 N Wolcott Ave ,Chicago,60657,Ravenswood-Ridge Elementary Network,Not on Probation,Level 2,No,Strong,72,-87.67577282,41.93924404,5,NORTH CENTER,32,19
609737,Friedrich W von Steuben Metropolitan Science High School,5039 N Kimball Ave ,Chicago,60625,North-Northwest Side High School Network,Not on Probation,Level 2,No,Strong,70,-87.71334969,41.9731926,13,NORTH PARK,39,17
609709,Gage Park High School,5630 S Rockwell St ,Chicago,60629,Southwest Side High School Network,Probation,Level 3,No,Very Weak,14,-87.68899064,41.79101352,63,GAGE PARK,16,8
610009,Galileo Math & Science Scholastic Academy Elementary School,820 S Carpenter St ,Chicago,60607,Fulton Elementary Network,Not on Probation,Level 1,No,Strong,65,-87.65340205,41.87124634,28,NEAR WEST SIDE,25,12
610072,Garrett A Morgan Elementary School,8407 S Kerfoot Ave ,Chicago,60620,Englewood-Gresham Elementary Network,Probation,Level 3,No,Weak,28,-87.64007166,41.74124549,71,AUBURN GRESHAM,21,6
610293,Genevieve Melody Elementary School,412 S Keeler Ave ,Chicago,60624,Garfield-Humboldt Elementary Network,Probation,Level 3,No,Strong,61,-87.73051772,41.87474954,26,WEST GARFIELD PARK,24,11
609779,George Armstrong International Studies Elementary School,2110 W Greenleaf Ave ,Chicago,60645,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,No,Average,59,-87.68446868,42.01017628,2,WEST RIDGE,50,24
610062,George B McClellan Elementary School,3527 S Wallace St ,Chicago,60609,Pershing Elementary Network,Probation,Level 2,No,Average,49,-87.64106579,41.82998962,60,BRIDGEPORT,11,9
610196,George B Swift Elementary Specialty School,5900 N Winthrop Ave ,Chicago,60660,Ravenswood-Ridge Elementary Network,Not on Probation,Level 2,No,Strong,61,-87.65833342,41.98915734,77,EDGEWATER,48,20
609849,George F Cassell Elementary School,11314 S Spaulding Ave ,Chicago,60655,Rock Island Elementary Network,Not on Probation,Level 2,No,Strong,76,-87.70325179,41.68733881,74,MOUNT GREENWOOD,19,22
609761,George H Corliss High School,821 E 103rd St ,Chicago,60628,Far South Side High School Network,Probation,Level 3,No,Weak,33,-87.60307842,41.70739096,50,PULLMAN,9,5
610305,George Leland Elementary School,5221 W Congress Pkwy ,Chicago,60644,Austin-North Lawndale Elementary Network,Probation,Level 3,No,NDA,,-87.75571809,41.87382439,25,AUSTIN,29,15
610048,George Manierre Elementary School,1420 N Hudson Ave ,Chicago,60610,Fullerton Elementary Network,Probation,Level 3,No,Average,43,-87.63986347,41.90825367,8,NEAR NORTH SIDE,27,18
610139,George M Pullman Elementary School,11311 S Forrestville Ave ,Chicago,60628,Lake Calumet Elementary Network,Not on Probation,Level 2,No,Average,59,-87.60939383,41.68879566,50,PULLMAN,9,5
609795,George Rogers Clark Elementary School,1045 S Monitor Ave ,Chicago,60644,Austin-North Lawndale Elementary Network,Not on Probation,Level 1,No,Weak,39,-87.77038158,41.8678323,25,AUSTIN,29,15
609760,George Washington Carver Military Academy High School,13100 S Doty Ave ,Chicago,60627,Far South Side High School Network,Not on Probation,Level 2,No,Average,53,-87.5906566,41.65627709,54,RIVERDALE,9,5
609845,George Washington Carver Primary School,901 E 133rd Pl ,Chicago,60827,Lake Calumet Elementary Network,Probation,Level 3,No,Weak,25,-87.59952683,41.65367428,54,RIVERDALE,9,5
610219,George Washington Elementary School,3611 E 114th St ,Chicago,60617,Lake Calumet Elementary Network,Not on Probation,Level 1,No,Average,58,-87.53600985,41.68810403,52,EAST SIDE,10,4
609739,George Washington High School,3535 E 114th St ,Chicago,60617,Far South Side High School Network,Probation,Level 2,No,Average,46,-87.5375501,41.6881094,52,EAST SIDE,10,4
609900,George W Curtis Elementary School,32 E 115th St ,Chicago,60628,AUSL Schools,Probation,Level 3,No,Weak,23,-87.62166148,41.68544575,49,ROSELAND,9,5
609693,George Westinghouse High School,3223 W Franklin Blvd ,Chicago,60624,West Side High School Network,Not on Probation,Not Enough Data,No,Strong,74,-87.70734353,41.88994963,23,HUMBOLDT PARK,28,11
610202,George W Tilton Elementary School,223 N Keeler Ave ,Chicago,60624,Garfield-Humboldt Elementary Network,Probation,Level 3,No,Very Weak,6,-87.73052949,41.88409703,26,WEST GARFIELD PARK,28,11
609920,Gerald Delgado Kanoon Elementary Magnet School,2233 S Kedzie Ave ,Chicago,60623,Pilsen-Little Village Elementary Network,Probation,Level 3,No,Average,44,-87.70507547,41.85077575,30,SOUTH LAWNDALE,24,10
610187,Graeme Stewart Elementary School,4525 N Kenmore Ave ,Chicago,60640,Ravenswood-Ridge Elementary Network,Probation,Level 2,No,Average,49,-87.65605252,41.96434608,3,UPTOWN,46,19
610285,Granville T Woods Math & Science Academy Elementary School,6206 S Racine Ave ,Chicago,60636,Englewood-Gresham Elementary Network,Not on Probation,Level 2,No,Weak,35,-87.65468845,41.7811649,67,WEST ENGLEWOOD,16,7
