ID,CASE_NUMBER,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,YEAR,LONGITUDE,LATITUDE
9337353,HW481295,016XX S ST LOUIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1021,10,24,29,08B,2013,-87.71275427,41.85844398
7759940,HS568476,033XX W 28TH ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,1032,10,22,30,04B,2010,-87.70767292,41.84083118
11277173,JB213238,022XX N PARKSIDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2515,25,37,19,08B,2018,-87.76709866,41.92112344
7670858,HS475732,047XX W ALTGELD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,2521,25,31,19,08B,2010,-87.74497181,41.92624818
7787295,HS595785,079XX S ESSEX AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,422,4,7,46,08B,2010,-87.56380046,41.75131717
7002482,HR408597,030XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1124,11,28,27,08B,2009,-87.70266813,41.87735457
8315579,HT542713,034XX N PAULINA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,FALSE,TRUE,1924,19,32,6,08B,2011,-87.67121812,41.94382121
3867425,HL240985,025XX N HALSTED ST,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,1933,19,43,7,08B,2005,-87.64884628,41.92778453
2645724,HJ254782,021XX N MAJOR AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,2515,25,29,19,04B,2003,-87.76825913,41.91953201
3500168,HK561262,038XX W FILLMORE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,1133,11,24,29,08B,2004,-87.72094045,41.86804342
9068374,HW213573,072XX S STONY ISLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,324,3,5,43,08B,2013,-87.58624307,41.76302702
1639049,G419948,048XX W 45 ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,814,8,,,08B,2001,-87.74331705,41.81138164
3812293,HL177008,067XX S MORGAN ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,724,7,17,68,08B,2005,-87.64944248,41.77194987
2961173,HJ639869,054XX S WENTWORTH AVE,460,BATTERY,SIMPLE,DEPARTMENT STORE,FALSE,FALSE,232,2,3,37,08B,2003,-87.63054249,41.79599104
4620332,HM217017,067XX S EMERALD AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,723,7,6,68,08B,2006,-87.64323257,41.7715944
4044375,HL388623,008XX S SPRINGFIELD AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1133,11,24,26,08B,2005,-87.7228663,41.8701448
9999493,HY189363,001XX N STATE ST,460,BATTERY,SIMPLE,DEPARTMENT STORE,TRUE,FALSE,111,1,42,32,08B,2015,-87.62791546,41.88465026
7692081,HS498285,006XX W MELROSE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2332,19,44,6,08B,2010,-87.64534052,41.94111969
